"Cell_ID","Latitude","Longitude","Avg_Temperature","Percent_of_Max"
625,83.4,-55,-19.2,-62
626,83.4,-45,-19.3,-62.24
627,83.4,-35,-19.8,-63.97
622,83.4,-85,-19.9,-64.25
623,83.4,-75,-20.1,-64.93
40,-74.5,-145,-20.6,-66.63
105,-64.8,145,-20.8,-67.18
44,-74.5,-105,-20.9,-67.33
103,-64.8,125,-21.1,-68.14
98,-64.8,75,-21.2,-68.31
102,-64.8,115,-21.4,-68.9
50,-74.5,-45,-21.5,-69.54
43,-74.5,-115,-22,-71
71,-74.5,165,-22.2,-71.51
45,-74.5,-95,-22.3,-71.85
52,-74.5,-25,-22.7,-73.16
95,-64.8,45,-23,-74.08
104,-64.8,135,-23.3,-75.26
46,-74.5,-85,-23.5,-75.68
97,-64.8,65,-23.6,-76.15
590,74.5,-45,-23.6,-76.02
41,-74.5,-135,-23.7,-76.63
53,-74.5,-15,-24,-77.5
591,74.5,-35,-24.7,-79.66
42,-74.5,-125,-24.9,-80.33
101,-64.8,105,-26.7,-86.03
54,-74.5,-5,-27.2,-87.63
96,-64.8,55,-27.5,-88.63
7,-83.4,-115,-29.5,-95.29
70,-74.5,155,-30.1,-97.04
55,-74.5,5,-30.2,-97.4
11,-83.4,-75,-31,-99.91
6,-83.4,-125,-31.1,-100.4
4,-83.4,-145,-31.6,-101.83
12,-83.4,-65,-31.6,-101.99
5,-83.4,-135,-31.8,-102.54
3,-83.4,-155,-32.8,-105.87
8,-83.4,-105,-33,-106.61
69,-74.5,145,-33.4,-107.67
99,-64.8,85,-33.4,-107.63
10,-83.4,-85,-34.1,-109.94
56,-74.5,15,-34.5,-111.24
68,-74.5,135,-35,-112.87
9,-83.4,-95,-35.2,-113.63
14,-83.4,-45,-35.5,-114.54
2,-83.4,-165,-35.6,-114.83
13,-83.4,-55,-35.6,-115.01
15,-83.4,-35,-35.7,-115.08
67,-74.5,125,-35.9,-115.7
62,-74.5,75,-36.1,-116.61
16,-83.4,-25,-36.3,-117.12
61,-74.5,65,-36.7,-118.34
17,-83.4,-15,-38,-122.54
57,-74.5,25,-38.4,-123.81
100,-64.8,95,-38.7,-124.85
18,-83.4,-5,-39.6,-127.87
34,-83.4,155,-39.6,-127.88
35,-83.4,165,-40.2,-129.88
1,-83.4,-175,-40.3,-130.08
66,-74.5,115,-40.3,-129.92
19,-83.4,5,-41.6,-134.37
33,-83.4,145,-41.6,-134.39
58,-74.5,35,-42,-135.44
36,-83.4,175,-42.1,-135.85
32,-83.4,135,-42.3,-136.45
31,-83.4,125,-43.3,-139.81
20,-83.4,15,-43.7,-140.91
65,-74.5,105,-44.3,-142.9
60,-74.5,55,-44.7,-144.33
59,-74.5,45,-45.7,-147.48
63,-74.5,85,-46.3,-149.5
30,-83.4,115,-46.4,-149.65
21,-83.4,25,-46.7,-150.62
29,-83.4,105,-49.2,-158.75
27,-83.4,85,-50.2,-161.95
64,-74.5,95,-50.3,-162.3
26,-83.4,75,-50.4,-162.64
28,-83.4,95,-50.4,-162.66
22,-83.4,35,-50.7,-163.65
25,-83.4,65,-52.1,-168.22
23,-83.4,45,-53.6,-173.04
24,-83.4,55,-53.6,-173.06
